DEPARTAMENTO,HORA,MODALIDAD,FALLECIDOS,HERIDOS
ANCASH,17:40,CHOQUE,0,0
AREQUIPA,17:30,CHOQUE,0,10
LIMA,11:00,ATROPELLO,0,2
LIMA,10:45,ESPECIAL,0,2
LIMA,03:20,CHOQUE,0,0
CAJAMARCA,07:40,CHOQUE,0,2
LIMA,07:46,CHOQUE,0,5
CUSCO,03:45,DESPISTE,0,0
JUNIN,23:40,CHOQUE,0,0
PUNO,14:20,CHOQUE,0,0
JUNIN,22:10,DESPISTE,0,0
ICA,06:45,CHOQUE,0,1
LA LIBERTAD,20:30,CHOQUE,0,0
AREQUIPA,17:05,DESPISTE,0,0
LAMBAYEQUE,20:30,CHOQUE,0,1
PIURA,00:30,CHOQUE,0,1
AREQUIPA,05:00,CHOQUE,0,0
CUSCO,01:30,CHOQUE,1,0
CUSCO,04:30,CHOQUE,0,2
MOQUEGUA,11:40,CHOQUE,0,1
PUNO,19:45,CHOQUE,1,0
LAMBAYEQUE,04:10,CHOQUE,1,1
ANCASH,15:30,DESPISTE,0,1
LIMA,00:30,CHOQUE,0,1
LIMA,01:10,CHOQUE,0,2
LIMA,16:30,DESPISTE,0,5
LIMA,06:40,DESPISTE,0,0
UCAYALI,23:20,CHOQUE,2,0
LIMA,07:30,DESPISTE,0,0
AREQUIPA,16:50,DESPISTE,0,2
JUNIN,14:30,CHOQUE,0,3
LIMA,01:55,CHOQUE,1,27
ICA,08:55,DESPISTE,0,2
ICA,21:30,CHOQUE,0,0
AMAZONAS,17:20,DESPISTE,0,0
ANCASH,14:50,ESPECIAL,0,0
MADRE DE DIOS,03:45,DESPISTE,0,1
ICA,04:20,CHOQUE,5,6
SAN MARTIN,06:20,DESPISTE,0,0
MADRE DE DIOS,17:30,DESPISTE,1,3
LA LIBERTAD,13:10,CHOQUE,0,3
AREQUIPA,15:00,CHOQUE,0,1
LA LIBERTAD,18:35,DESPISTE,0,6
AREQUIPA,18:10,DESPISTE,0,0
PUNO,09:00,CHOQUE,0,1
CAJAMARCA,04:25,CHOQUE,0,2
AMAZONAS,15:20,CHOQUE,0,0
JUNIN,19:00,DESPISTE,0,0
JUNIN,17:40,CHOQUE,0,0
JUNIN,13:20,CHOQUE,0,1
HUANUCO,20:20,DESPISTE,0,0
PUNO,15:35,DESPISTE,0,0
AREQUIPA,22:00,DESPISTE,0,0
LAMBAYEQUE,18:50,CHOQUE,1,0
AMAZONAS,16:20,DESPISTE,0,3
LA LIBERTAD,15:50,ATROPELLO,0,1
TACNA,13:10,DESPISTE,0,1
LIMA,11:40,CHOQUE,1,0
LIMA,16:30,CHOQUE,0,2
LIMA,13:35,CHOQUE,0,1
PUNO,13:55,CHOQUE,0,2
HUANCAVELICA,18:00,DESPISTE,0,1
LIMA,16:30,DESPISTE,0,0
JUNIN,13:30,DESPISTE,0,0
LIMA,02:40,DESPISTE,0,0
ANCASH,15:00,DESPISTE,1,5
APURIMAC,12:30,DESPISTE,0,3
CUSCO,02:30,DESPISTE,0,3
CUSCO,19:10,CHOQUE,0,2
LIMA,18:00,CHOQUE,0,0
AMAZONAS,21:30,DESPISTE,0,1
PIURA,21:35,DESPISTE,1,0
LIMA,07:50,DESPISTE,0,1
JUNIN,03:00,CHOQUE,0,8
JUNIN,17:40,DESPISTE,0,1
JUNIN,17:40,DESPISTE,0,1
LIMA,20:15,ATROPELLO,1,1
JUNIN,03:30,DESPISTE,0,0
PIURA,16:00,DESPISTE,0,6
CAJAMARCA,07:30,DESPISTE,1,1
HUANUCO,09:30,DESPISTE,0,0
ICA,11:55,DESPISTE,0,2
LIMA,06:50,DESPISTE,0,2
ICA,18:00,DESPISTE,0,3
AMAZONAS,08:30,DESPISTE,0,0
ICA,15:47,ATROPELLO,0,1
AYACUCHO,17:00,DESPISTE,0,0
ANCASH,07:45,CHOQUE,0,0
ANCASH,22:10,DESPISTE,0,2
CUSCO,14:20,ATROPELLO,1,0
Puno,12:50,DESPISTE,0,1
LORETO,18:20,CHOQUE,0,2
Cusco,16:30,ATROPELLO,0,1
LIMA,21:45,CHOQUE,0,0
CAJAMARCA,03:44,DESPISTE,0,7
Arequipa,17:15,DESPISTE,0,0
LIMA,05:30,CHOQUE,0,0
LIMA,04:00,DESPISTE,1,3
HUANUCO,19:00,DESPISTE,0,0
AREQUIPA,15:00,CHOQUE,0,3
LIMA,14:00,DESPISTE,0,1
LIMA,15:55,CHOQUE,0,0
AMAZONAS,23:50,CHOQUE,0,0
LIMA,00:38,DESPISTE,0,0
LIMA,21:00,DESPISTE,0,0
Arequipa,21:50,CHOQUE,0,0
CAJAMARCA,17:45,DESPISTE,0,2
HUANCAVELICA,09:00,DESPISTE,0,2
JUNIN,18:30,DESPISTE,0,0
ICA,19:30,ATROPELLO,0,2
ANCASH,08:00,DESPISTE,0,0
AYACUCHO,13:00,DESPISTE,0,4
AREQUIPA,00:05,CHOQUE,2,0
CUSCO,09:58,CHOQUE,0,2
JUNIN,12:50,DESPISTE,0,0
ANCASH,05:50,DESPISTE,1,0
AREQUIPA,15:40,DESPISTE,1,9
LIMA,N.I.,DESPISTE,0,0
TACNA,15:30,DESPISTE,1,3
CAJAMARCA,12:30,DESPISTE,1,1
AMAZONAS,05:00,DESPISTE,0,1
APURIMAC,19:50,DESPISTE,2,2
JUNIN,09:00,DESPISTE,0,0
HUANUCO,18:00,DESPISTE,0,0
